p,n_total,n_tr,n_test,accuracy,time_total,time_compute,time_comm,m
1,200,160,40,0.9500000000000001,0.04578697428571429,0.045185821714285715,0.0005994595714285678,7
2,200,160,40,0.9500000000000001,0.024965341857142855,0.024229924571428578,0.0010428402857142873,7
4,200,160,40,0.9500000000000001,0.016545527428571426,0.015659847714285715,0.004036185,7
8,200,160,40,0.9500000000000001,0.008538911,0.007424778571428572,0.0014367658571428578,7
16,200,160,40,0.9500000000000001,0.006162499285714286,0.0043390868571428565,0.0020069145714285723,7
32,200,160,40,0.9500000000000001,0.011261790571428575,0.005106825857142857,0.006118279571428574,7
64,200,160,40,0.9500000000000001,0.026989461000000003,0.0045144908571428605,0.023310038285714284,7
80,200,160,40,0.9500000000000001,0.045813150571428575,0.0038238215714285657,0.034994620571428575,7
1,500,400,100,0.9800000000000002,0.2821189870000001,0.280616403,0.001500401142857179,7
2,500,400,100,0.9800000000000002,0.16098643114285713,0.15939107900000002,0.019895031428571425,7
4,500,400,100,0.9800000000000002,0.090729974,0.08874074928571428,0.016734284857142876,7
8,500,400,100,0.9800000000000002,0.04836922857142857,0.04560611471428572,0.006460016142857151,7
16,500,400,100,0.9800000000000002,0.02753339628571429,0.023371272142857145,0.004391240714285724,7
32,500,400,100,0.9800000000000002,0.033423465285714264,0.02183164185714285,0.01889461528571428,7
64,500,400,100,0.9800000000000002,0.06669470357142858,0.01979902999999999,0.04811290071428569,7
80,500,400,100,0.9800000000000002,0.0994159174285714,0.025456214285714283,0.08402426042857143,7
1,1000,800,200,0.995,1.116060225857143,1.1132916238571429,0.0027641098571429584,7
2,1000,800,200,0.995,0.6017686328571429,0.5984655614285714,0.0032856077142857814,7
4,1000,800,200,0.995,0.3034747278571429,0.2995611128571429,0.018064846857142897,7
8,1000,800,200,0.995,0.18201878957142853,0.17365982228571428,0.012137463142857149,7
16,1000,800,200,0.995,0.12010603471428571,0.10794123200000001,0.026870131999999998,7
32,1000,800,200,0.995,0.1307724028571429,0.1032616612857143,0.07619610342857144,7
64,1000,800,200,0.995,0.1581318522857143,0.06832748257142858,0.10033278300000001,7
80,1000,800,200,0.995,0.24164478985714294,0.1084866535714286,0.18201766614285705,7
1,1500,1200,300,0.9933333333333333,2.517528910142857,2.513122550285714,0.004401699142857358,7
2,1500,1200,300,0.9933333333333333,1.2824494307142855,1.2775356547142855,0.01730020371428601,7
4,1500,1200,300,0.9933333333333333,0.6487811198571428,0.6427973128571429,0.028929232000000114,7
8,1500,1200,300,0.9933333333333333,0.43580277485714275,0.42374424428571433,0.04430386285714281,7
16,1500,1200,300,0.9933333333333333,0.26778742714285714,0.24865434285714288,0.07819328400000004,7
32,1500,1200,300,0.9933333333333333,0.18373126571428572,0.146502502,0.06742939657142859,7
64,1500,1200,300,0.9933333333333333,0.26611513057142855,0.1281750304285714,0.14825018642857146,7
80,1500,1200,300,0.9933333333333333,0.41106824071428566,0.19933661171428566,0.3020562902857143,7
1,1797,1437,360,0.9833333333333333,3.921861380142857,3.9164032440000005,0.005453359285715236,7
2,1797,1437,360,0.9833333333333333,1.87332722,1.8673627135714288,0.07645212900000013,7
4,1797,1437,360,0.9833333333333333,0.9734276018571428,0.9628841964285713,0.010513261999999943,7
8,1797,1437,360,0.9833333333333333,0.5700120425714287,0.556482335,0.03902474457142862,7
16,1797,1437,360,0.9833333333333333,0.3804573668571428,0.35603705614285713,0.07983652200000001,7
32,1797,1437,360,0.9833333333333333,0.28376288471428573,0.23172449157142858,0.11069335971428572,7
64,1797,1437,360,0.9833333333333333,0.3308124391428572,0.2017614845714286,0.20457978685714284,7
80,1797,1437,360,0.9833333333333333,0.5421161721428571,0.24935069714285704,0.348342855,7
