p,n_total,n_test,accuracy,time_total,time_compute,time_comm
1,5000,1000,0.946,30.656401254,30.656203713,0.00019257999999887035
2,5000,1000,0.946,17.07256838,17.072179401,0.08043404500000015
4,5000,1000,0.946,8.98249049,8.982072926999999,0.19707769400000125
8,5000,1000,0.946,5.759141939,5.754940051999999,0.6512358719999998
16,5000,1000,0.946,3.074339727,3.073937263,0.22754777299999984
32,5000,1000,0.946,1.919295778,1.907756556,0.16236074700000003
64,5000,1000,0.946,1.680549807,1.65723737,0.7046039779999999
1,10000,2000,0.952,128.439885306,128.43967969000002,0.0002006420000047099
2,10000,2000,0.952,66.285467936,66.285023231,1.2549344859999991
4,10000,2000,0.952,36.24050002,36.240044394,0.0004155860000043408
8,10000,2000,0.952,23.192143868,23.18864133,2.6002657319999996
16,10000,2000,0.952,11.331565828,11.330968709,0.7012185759999994
32,10000,2000,0.952,8.797134024,8.786759813,1.8908549119999998
64,10000,2000,0.952,7.439953047,7.3733982330000005,2.701943201
1,20000,4000,0.9585,537.350590904,537.350374834,0.00021078400008324593
2,20000,4000,0.9585,268.156060263,268.155606561,9.378033978999996
4,20000,4000,0.9585,136.578250852,136.57761746,2.150810262999995
8,20000,4000,0.9585,81.558690204,81.558142958,0.1196524419999955
16,20000,4000,0.9585,47.806688569,47.806053606000006,0.41193304700000277
32,20000,4000,0.9585,35.497901086,35.486159934,8.225039036000004
64,20000,4000,0.9585,24.60862576,24.588409736,10.11238855
